No,Content,A,B,C,D,Answered
42,"[""An Amazon Kinesis Data Firehose delivery stream is receiving customer data that\ncontains personally identifiable information. A developer needs to remove\npattern-based customer identifiers from the data and store the modified data in\nan Amazon S3 bucket.\nWhat should the developer do to meet these requirements?""]",Implement Kinesis Data Firehose data transformation as an AWS Lambda function. Configure the function to remove the customer identifiers. Set an Amazon S3 bucket as the destination of the delivery stream.,Launch an Amazon EC2 instance. Set the EC2 instance as the destination of the delivery stream. Run an application on the EC2 instance to remove the customer identifiers. Store the transformed data in an Amazon S3 bucket.,Create an Amazon OpenSearch Service instance. Set the OpenSearch Service instance as the destination of the delivery stream. Use search and replace to remove the customer identifiers. Export the data to an Amazon S3 bucket.,"Create an AWS Step Functions workflow to remove the customer identifiers. As the last step in the workflow, store the transformed data in an Amazon S3 bucket. Set the workflow as the destination of the delivery stream.","# Answer
- **Correct option:** A 
- **Reason:** Implementing Kinesis Data Firehose data transformation as an AWS Lambda function allows for the on-the-fly modification of incoming data streams. The Lambda function can be configured specifically to remove customer identifiers directly before the data is sent to Amazon S3, thus effectively meeting the requirement to remove personally identifiable information.

# Example / Analogy
- Think of Kinesis Data Firehose like a conveyor belt carrying boxes of goods (the data). In this scenario, the Lambda function acts like a quality control station along the conveyor belt that inspects each box and removes any sensitive items before they reach the storage area (Amazon S3). This ensures only safe, modified boxes are stored.

# Common Mistakes / Traps
- A common pitfall is choosing solutions that involve additional, unnecessary services (like EC2 or Step Functions) that complicate the architecture. The goal is to efficiently handle stream data processing without introducing more components than needed.

# Memory Tip
- **Lambda is your data filter: remove sensitive info on-the-go!**"
43,"[""An application uses Lambda functions to extract metadata from files uploaded to\nan S3 bucket; the metadata is stored in Amazon DynamoDB. The application starts\nbehaving unexpectedly, and the developer wants to examine the logs of the Lambda\nfunction code for errors.\nBased on this system configuration, where would the developer find the logs?""]",Amazon S3,AWS CloudTrail,Amazon CloudWatch,Amazon DynamoDB,"# Answer
- **Correct option:** C : Amazon CloudWatch
- **Reason:** AWS Lambda automatically integrates with Amazon CloudWatch to log output and error messages generated by your Lambda functions. When a Lambda function fails or logs a statement, this information is sent to CloudWatch Logs, where developers can access it for debugging and monitoring.

# Example / Analogy
- Consider CloudWatch as a security camera for your Lambda function—it records everything that happens during execution (like logs) so you can review and diagnose issues later.

# Common Mistakes / Traps
- A common mistake is thinking that logs are stored in S3 or that CloudTrail (which records API activity) would provide the specific logs of the Lambda function’s execution. CloudTrail captures management events but not the runtime execution logs of Lambda.

# Memory Tip
- Think ""CloudWatch for checking what went wrong in my Lambda."""
44,"[""A company is using an AWS Lambda function to process records from an Amazon\nKinesis data stream. The company recently observed slow processing of the\nrecords. A developer notices that the iterator age metric for the function is\nincreasing and that the Lambda run duration is constantly above normal.\nWhich actions should the developer take to increase the processing speed?\n(Choose two.)""]",Increase the number of shards of the Kinesis data stream.,Decrease the timeout of the Lambda function.,Increase the memory that is allocated to the Lambda function.,Decrease the number of shards of the Kinesis data stream.,"# Answer
- **Correct options:** A, C  

- **Reason:**  
  Option A (Increase the number of shards of the Kinesis data stream) effectively allows for more parallel processing of records, enabling multiple Lambda instances to consume from the stream at the same time. The iterator age metric indicates how old the records in the stream are compared to the current processing point; if it's increasing, it suggests that Lambda is not keeping up with the incoming data. By increasing the number of shards, you can distribute the load more efficiently.  
  Option C (Increase the memory that is allocated to the Lambda function) not only increases the available memory but can also lead to a higher CPU allocation, which can reduce processing time for each function invocation. When you boost memory for Lambda, it can handle more complex processing or run faster, reducing the overall duration of function executions.

# Example / Analogy
- Think of a highway with multiple lanes (shards) where cars (data records) travel. If the highway has too few lanes, traffic slows down, leading to cars piling up (increased iterator age). Adding more lanes (shards) allows more cars to travel at once, improving overall traffic speed. Similarly, if one car (Lambda function) isn't powerful enough (limited memory), it can't accelerate effectively; giving it a more powerful engine (more memory) helps it go faster.

# Common Mistakes / Traps
- A common mistake is to assume that decreasing the timeout or the number of shards will help. Decreasing the timeout (Option B) only means the Lambda will stop processing sooner, which does not resolve the underlying problem of processing speed. Additionally, decreasing the number of shards (Option D) contradicts the goal of improving throughput.

# Memory Tip
- **More shards = more lanes; more memory = a more powerful engine.**"
45,"[""A developer is incorporating AWS X-Ray into an application that handles personal\nidentifiable information (PII). The application is hosted on Amazon EC2\ninstances. The application trace messages include encrypted PII and go to Amazon\nCloudWatch. The developer needs to ensure that no PII goes outside of the EC2\ninstances.\nWhich solution will meet these requirements?""]",Manually instrument the X-Ray SDK in the application code.,Use the X-Ray auto-instrumentation agent.,Use Amazon Macie to detect and hide PII. Call the X-Ray API from AWS Lambda.,Use AWS Distro for Open Telemetry.,"# Answer
- **Correct option:** A: Manually instrument the X-Ray SDK in the application code.

- **Reason:** Manually instrumenting the X-Ray SDK allows the developer to have complete control over what data is sent to AWS X-Ray, ensuring that encrypted PII can be excluded from trace data. By selectively including trace messages that do not contain any PII, the developer can ensure compliance with privacy requirements and prevent sensitive information from going outside the EC2 instances.

# Example / Analogy
- Think of it like manually deciding what to share on social media versus automatically sharing everything from your phone. If you manually select which photos to post (like manually instrumenting the X-Ray SDK), you ensure that no personal or sensitive images (PII) are shared publicly. Automatic sharing might include everything, potentially compromising your privacy.

# Common Mistakes / Traps
- A common trap in this type of question is assuming that auto-instrumentation (Option B) is safer. While it is quicker and easier to set up, it may capture all data, including sensitive PII, unless carefully configured. Similarly, using services like AWS Lambda to process data (Option C) does not inherently prevent PII from being sent outside EC2 instances, as the data received may still include sensitive information.

# Memory Tip
- Manually control your data flow to keep your PII personal and protected!"
46,"[""A company needs to harden its container images before the images are in a\nrunning state. The company's application uses Amazon Elastic Container Registry\n(Amazon ECR) as an image registry. Amazon Elastic Kubernetes Service (Amazon\nEKS) for compute, and an AWS CodePipeline pipeline that orchestrates a\ncontinuous integration and continuous delivery (CI/CD) workflow.\nDynamic application security testing occurs in the final stage of the pipeline\nafter a new image is deployed to a development namespace in the EKS cluster. A\ndeveloper needs to place an analysis stage before this deployment to analyze the\ncontainer image earlier in the CI/CD pipeline.\nWhich solution will meet these requirements with the MOST operational\nefficiency?""]",Build the container image and run the docker scan command locally. Mitigate any findings before pushing changes to the source code repository. Write a pre-commit hook that enforces the use of this workflow before commit.,Create a new CodePipeline stage that occurs after the container image is built. Configure ECR basic image scanning to scan on image push. Use an AWS Lambda function as the action provider. Configure the Lambda function to check the scan results and to fail the pipeline if there are findings.,Create a new CodePipeline stage that occurs after source code has been retrieved from its repository. Run a security scanner on the latest revision of the source code. Fail the pipeline if there are findings.,Add an action to the deployment stage of the pipeline so that the action occurs before the deployment to the EKS cluster. Configure ECR basic image scanning to scan on image push. Use an AWS Lambda function as the action provider. Configure the Lambda function to check the scan results and to fail the pipeline if there are findings.,"# Answer
- **Correct option:** B
- **Reason:** This option creates a dedicated stage in the CodePipeline that scans the container image immediately after it is built and before it is deployed. By utilizing ECR's built-in image scanning capability, the solution ensures that container vulnerabilities are identified early. The Lambda function can automate the process of checking the scan results and stopping the pipeline if any issues are detected, providing a robust security check without manual intervention.

# Example / Analogy
- Think of this as a safety inspection for a vehicle before it hits the road. Just like a thorough inspection can identify issues with the brakes or engines before the car is used, the image scanning step identifies security vulnerabilities before the container is deployed. This proactive approach prevents problematic containers from running in a production environment.

# Common Mistakes / Traps
- A common mistake could be thinking that scanning after the deployment is sufficient, or assuming local scanning is enough for a CI/CD pipeline. Both of these overlook the efficiencies and automation provided by integrating the scan before deployment in the pipeline.

# Memory Tip
- Always scan your images *before* deployment for early detection of vulnerabilities—secure from the start!"
47,"[""A developer is testing a new file storage application that uses an Amazon\nCloudFront distribution to serve content from an Amazon S3 bucket. The\ndistribution accesses the S3 bucket by using an origin access identity (OAI).\nThe S3 bucket's permissions explicitly deny access to all other users.\nThe application prompts users to authenticate on a login page and then uses\nsigned cookies to allow users to access their personal storage directories. The\ndeveloper has configured the distribution to use its default cache behavior with\nrestricted viewer access and has set the origin to point to the S3 bucket.\nHowever, when the developer tries to navigate to the login page, the developer\nreceives a 403 Forbidden error.\nThe developer needs to implement a solution to allow unauthenticated access to\nthe login page. The solution also must keep all private content secure.\nWhich solution will meet these requirements?""]","Add a second cache behavior to the distribution with the same origin as the default cache behavior. Set the path pattern for the second cache behavior to the path of the login page, and make viewer access unrestricted. Keep the default cache behavior's settings unchanged.","Add a second cache behavior to the distribution with the same origin as the default cache behavior. Set the path pattern for the second cache behavior to *, and make viewer access restricted. Change the default cache behavior's path pattern to the path of the login page, and make viewer access unrestricted.","Add a second origin as a failover origin to the default cache behavior. Point the failover origin to the S3 bucket. Set the path pattern for the primary origin to *, and make viewer access restricted. Set the path pattern for the failover origin to the path of the login page, and make viewer access unrestricted.",Add a bucket policy to the S3 bucket to allow read access. Set the resource on the policy to the Amazon Resource Name (ARN) of the login page object in the S3 bucket. Add a CloudFront function to the default cache behavior to redirect unauthorized requests to the login page's S3 URL.,"# Answer
- **Correct option:** A
- **Reason:** Option A suggests adding a second cache behavior to the CloudFront distribution that points specifically to the login page with unrestricted viewer access. This allows anyone to access the login page while keeping the default cache behavior (which is restricted) for all other content, ensuring that private content remains secure.

# Example / Analogy
- Imagine you run a secure building with a main entrance that requires keycard access (like the restricted access for private content). However, you also have a public lobby area (the login page) where anyone can enter without restriction. By setting up a separate entrance just for the lobby (the second cache behavior), you allow unauthenticated users to access that area while keeping the main building secure.

# Common Mistakes / Traps
- A common trap is to think that simply adjusting the default cache behavior will solve the problem. However, that would not grant access to the login page for unauthenticated users, leading to a 403 error. It's essential to identify that a targeted solution (like a separate cache behavior) is needed for public access.

# Memory Tip
- **One behavior for access, another for security!**"
48,"[""A developer is using AWS Amplify Hosting to build and deploy an application. The\ndeveloper is receiving an increased number of bug reports from users. The\ndeveloper wants to add end-to-end testing to the application to eliminate as\nmany bugs as possible before the bugs reach production.\nWhich solution should the developer implement to meet these requirements?""]",Run the amplify add test command in the Amplify CLI.,Create unit tests in the application. Deploy the unit tests by using the amplify push command in the Amplify CLI.,Add a test phase to the amplify.yml build settings for the application.,Add a test phase to the aws-exports.js file for the application.,"# Answer
- **Correct option:** C
- **Reason:** Adding a test phase to the `amplify.yml` build settings allows you to automate end-to-end testing during the build process on AWS Amplify Hosting. This ensures that tests are run each time you deploy the application, helping to catch bugs before the application reaches production.

# Example / Analogy
- Think of `amplify.yml` build settings like a chef's recipe that includes a baking step (test phase) at the end. If the chef doesn't taste the dish (run tests) before serving it, they might deliver a flawed dish (application) to the customers (users). Having a test phase ensures that the dish is perfect before it gets to the table.

# Common Mistakes / Traps
- A common mistake is to think that adding unit tests (Choice B) is sufficient on its own. While unit tests are important, end-to-end tests cover broader functionality and integration, ensuring the entire application works well together.

# Memory Tip
- ""Test early, test often"" to remember that integrating testing into build settings is essential for quality."
49,"[""A company has deployed an application on AWS Elastic Beanstalk. The company has\nconfigured the Auto Scaling group that is associated with the Elastic Beanstalk\nenvironment to have five Amazon EC2 instances. If the capacity is fewer than\nfour EC2 instances during the deployment, application performance degrades. The\ncompany is using the all-at-once deployment policy.\nWhat is the MOST cost-effective way to solve the deployment issue?""]",Change the Auto Scaling group to six desired instances.,Change the deployment policy to traffic splitting. Specify an evaluation time of 1 hour.,Change the deployment policy to rolling with additional batch. Specify a batch size of 1.,Change the deployment policy to rolling. Specify a batch size of 2.,"# Answer
- **Correct option:** C : Change the deployment policy to rolling with additional batch. Specify a batch size of 1.

- **Reason:** Changing the deployment policy to ""rolling with additional batch"" and setting the batch size to 1 allows one instance to be updated at a time while maintaining a minimum of four instances available. This ensures that the application has enough capacity to handle traffic without degrading performance during deployments, thus addressing the issue of application performance degradation.

# Example / Analogy
- Imagine a bakery that gets busy every day. If the bakery decides to renovate all its counters at once (like the all-at-once deployment), it might not have enough space to serve customers, resulting in long lines and unhappy customers. Instead, if the bakery updates one counter at a time (similar to rolling deployment with batch size of 1), it can continue serving customers and won't cause a bottleneck, ensuring happy customers and continued sales.

# Common Mistakes / Traps
- A common mistake is choosing the ""all-at-once"" deployment because it sounds quicker but leads to the performance issue. Additionally, some may mistakenly think that increasing the number of instances is the only solution without realizing that the deployment strategy is also critical for maintaining performance.

# Memory Tip
- Aim to ""roll"" one at a time for smoother transitions during deployments."
50,"[""A company is building a serverless application that uses AWS Lambda functions.\nThe company needs to create a set of test events to test Lambda functions in a\ndevelopment environment. The test events will be created once and then will be\nused by all the developers in an IAM developer group. The test events must be\neditable by any of the IAM users in the IAM developer group.\n\nWhich solution will meet these requirements?""]",Create and store the test events in Amazon S3 as JSON objects. Allow S3 bucket access to all IAM users.,Create the test events. Configure the event sharing settings to make the test events shareable.,Create and store the test events in Amazon DynamoDB. Allow access to DynamoDB by using IAM roles.,Create the test events. Configure the event sharing settings to make the test events private.,"# Answer
- **Correct option:** A

- **Reason:** Storing the test events in an Amazon S3 bucket as JSON objects allows all IAM users in the developer group to access and edit the test events as needed. S3 is designed for easy sharing and storage of files and provides fine-grained access control through IAM policies. Once the events are stored, any developer in the appropriate group can read, modify, and reuse these events without conflicts.

# Example / Analogy
- Think of S3 as a shared drive where all developers store and collaborate on project documents. By placing your test events there (much like filing docs in a shared folder), everyone can retrieve, edit, and share their updates seamlessly, ensuring everyone is working with the same information.

# Common Mistakes / Traps
- A common mistake might be thinking that event sharing settings (as mentioned in options B and D) can facilitate direct collaboration like S3 does. However, Lambda test events do not have built-in sharing features like S3. Additionally, confusing DynamoDB (option C) as an appropriate place for test event storage may lead to unnecessary complexity and cost since S3 is simpler and more suited for this use case.

# Memory Tip
- ""For collaborative storage and easy access, think S3 – the shared drive of AWS."""
51,"[""An engineer created an A/B test of a new feature on an Amazon CloudWatch\nEvidently project. The engineer configured two variations of the feature\n(Variation A and Variation B) for the test. The engineer wants to work\nexclusively with Variation A. The engineer needs to make updates so that\nVariation A is the only variation that appears when the engineer hits the\napplication's endpoint.\n\nWhich solution will meet this requirement?""]",Add an override to the feature. Set the identifier of the override to the engineer's user ID. Set the variation to Variation A.,Add an override to the feature. Set the identifier of the override to Variation A. Set the variation to 100%.,Add an experiment to the project. Set the identifier of the experiment to Variation B. Set the variation to 0%.,Add an experiment to the project. Set the identifier of the experiment to the AWS account's account ISet the variation to Variation A.,"# Answer
- **Correct option:** A
- **Reason:** Adding an override with the engineer's user ID ensures that the application will always serve Variation A to that specific user, effectively bypassing the A/B test for them. This approach allows testing variations without impacting other users by forcing the desired variation for a designated user.

# Example / Analogy
- Think of it like a restaurant where you’re conducting a taste test for two new dishes (Variation A and Variation B). If you want to ensure one specific customer always receives their favorite dish (Variation A), you could create a note in the kitchen that says, ""Always serve dish A to this customer."" This way, they get what they prefer while you continue to experiment with others.

# Common Mistakes / Traps
- A common mistake is to confuse the variations with user identifiers. Option B suggests setting the variation to 100%, which might seem like a good solution, but it does not target specific users and might confuse the overall testing framework, reducing the integrity of the A/B test.

# Memory Tip
- **Override with user ID** to give specific users their desired variation without disrupting the A/B test for others."
