No,Content,A,B,C,D,Answered
62,"[""A developer is creating an application. New users of the application must be\nable to create an account and register by using their own social media accounts.\n\nWhich AWS service or resource should the developer use to meet these\nrequirements?""]",IAM role,Amazon Cognito identity pools,Amazon Cognito user pools,AWS Directory Service,"# Answer
- **Correct option:** B : Amazon Cognito identity pools  

- **Reason:** Amazon Cognito identity pools allow users to authenticate using social identity providers (like Facebook, Google, etc.) and obtain AWS credentials, enabling them to access AWS services. This is exactly what is needed for an application where new users can register and create accounts using their social media accounts.

# Example / Analogy
- Think of Cognito identity pools like a VIP entrance at a concert where people can show their social media passes (like Facebook or Google) to get access. Instead of creating a new ticket for each person (like traditional user registration), they show their existing pass to enter.

# Common Mistakes / Traps
- A common mistake is confusing identity pools with user pools. While identity pools enable federated authentication using social providers, user pools are more about user registration and management without social identity integration.

# Memory Tip
- Remember: ""Identity pools for social sign-ins; User pools for managing users."""
63,"[""A social media application uses the AWS SDK for JavaScript on the frontend to\nget user credentials from AWS Security Token Service (AWS STS). The application\nstores its assets in an Amazon S3 bucket. The application serves its content by\nusing an Amazon CloudFront distribution with the origin set to the S3 bucket.\n\nThe credentials for the role that the application assumes to make the SDK calls\nare stored in plaintext in a JSON file within the application code. The\ndeveloper needs to implement a solution that will allow the application to get\nuser credentials without having any credentials hardcoded in the application\ncode.\n\nWhich solution will meet these requirements?""]",Add a Lambda@Edge function to the distribution. Invoke the function on viewer request. Add permissions to the function's execution role to allow the function to access AWS STS. Move all SDK calls from the frontend into the function.,Add a CloudFront function to the distribution. Invoke the function on viewer request. Add permissions to the function's execution role to allow the function to access AWS STS. Move all SDK calls from the frontend into the function.,Add a Lambda@Edge function to the distribution. Invoke the function on viewer request. Move the credentials from the JSON file into the function. Move all SDK calls from the frontend into the function.,Add a CloudFront function to the distribution. Invoke the function on viewer request. Move the credentials from the JSON file into the function. Move all SDK calls from the frontend into the function.,"# Answer
- **Correct option:** A

- **Reason:** 
  The correct solution is to add a Lambda@Edge function to the CloudFront distribution that will invoke on viewer requests. This function can assume a role to access AWS STS, allowing it to generate temporary, secure credentials without hardcoding any sensitive information in the frontend application. By moving all SDK calls from the frontend to the Lambda@Edge function, you eliminate the exposure of credentials.

# Example / Analogy
- Think of Lambda@Edge as a security guard at the entrance of a concert (your application). Instead of allowing every attendee (the frontend code) to access the backstage (AWS STS) where sensitive operations happen, the guard (Lambda@Edge) checks the tickets and only lets authorized personnel in to interact with the backstage securely.

# Common Mistakes / Traps
- A common mistake is to think that simply moving credentials to a function makes it secure. Storing credentials within the function can still pose security risks if not carefully managed. Always ensure that the code does not expose sensitive information.

# Memory Tip
- **Lambda@Edge: Your secure gatekeeper for handling sensitive AWS interactions on behalf of your frontend.**"
64,"[""An ecommerce website uses an AWS Lambda function and an Amazon RDS for MySQL\ndatabase for an order fulfillment service. The service needs to return order\nconfirmation immediately.\n\nDuring a marketing campaign that caused an increase in the number of orders, the\nwebsite's operations team noticed errors for “too many connections” from Amazon\nRDS. However, the RDS DB cluster metrics are healthy. CPU and memory capacity\nare still available.\n\nWhat should a developer do to resolve the errors?""]",Initialize the database connection outside the handler function. Increase the max_user_connections value on the parameter group of the DB cluster. Restart the DB cluster.,Initialize the database connection outside the handler function. Use RDS Proxy instead of connecting directly to the DB cluster.,Use Amazon Simple Queue Service (Amazon SQS) FIFO queues to queue the orders. Ingest the orders into the database. Set the Lambda function's concurrency to a value that equals the number of available database connections.,Use Amazon Simple Queue Service (Amazon SQS) FIFO queues to queue the orders. Ingest the orders into the database. Set the Lambda function's concurrency to a value that is less than the number of available database connections.,"# Answer
- **Correct option:** B
- **Reason:** Initializing the database connection outside the handler function allows for connection reuse across Lambda invocations, reducing the overhead of establishing a new connection for each request. Additionally, using RDS Proxy helps to manage connections efficiently and scale the authorized connections without hitting the database directly, mitigating ""too many connections"" errors.

# Example / Analogy
- Imagine trying to enter a busy restaurant where there’s a line at the door. If every customer had to talk to the manager to get a table every time they walked in, it would slow things down. Instead, if you had a receptionist (like RDS Proxy) handling the flow, she could manage the guests and ensure that customers could get seated without overwhelming the manager (the RDS database).

# Common Mistakes / Traps
- A common mistake is assuming that simply increasing the max_user_connections will solve the problem without addressing connection management or reusability.
- Another trap is initializing connections inside the handler function, leading to inefficient use of database connections and potential exhaustion during peaks.

# Memory Tip
- ""Optimize connections: Use RDS Proxy for efficient database access!"""
65,"[""A company stores its data in data tables in a series of Amazon S3 buckets. The\ncompany received an alert that customer credit card information might have been\nexposed in a data table on one of the company's public applications. A developer\nneeds to identify all potential exposures within the application environment.\n\nWhich solution will meet these requirements?""]",Use Amazon Athena to run a job on the S3 buckets that contain the affected data. Filter the findings by using the SensitiveData:S3Object/Personal finding type.,Use Amazon Macie to run a job on the S3 buckets that contain the affected data. Filter the findings by using the SensitiveData:S3Object/Financial finding type.,Use Amazon Macie to run a job on the S3 buckets that contain the affected data. Filter the findings by using the SensitiveData:S3Object/Personal finding type.,Use Amazon Athena to run a job on the S3 buckets that contain the affected data. Filter the findings by using the SensitiveData:S3Object/Financial finding type.,"# Answer
- **Correct option:** B  
- **Reason:** Amazon Macie is specifically designed for discovering and protecting sensitive data, including financial data like credit card information. By filtering with the SensitiveData:S3Object/Financial finding type, Macie can help identify all occurrences of this type of sensitive information in your S3 buckets, meeting the company's requirement to pinpoint potential exposures.

# Example / Analogy
- Think of Amazon Macie as a security guard for your data; just like a guard who inspects bags for cash or credit cards, Macie scans your S3 buckets for sensitive data, ensuring nothing is overlooked. If you suspect cash might be missing, you’d want the guard checking for that specific item—just as you want Macie filtering specifically for financial data when there’s a risk of credit card exposure.

# Common Mistakes / Traps
- A common mistake is confusing Amazon Macie with Amazon Athena. While Athena is great for querying data in S3, it does not specialize in identifying sensitive information. Users might incorrectly assume they can use Athena for this purpose when they need Macie's specialized capabilities.

# Memory Tip
- **Remember:** Use **Macie** for **sensitive data** discovery; it’s your **data security expert** in the AWS ecosystem!"
66,"[""A software company is launching a multimedia application. The application will\nallow guest users to access sample content before the users decide if they want\nto create an account to gain full access. The company wants to implement an\nauthentication process that can identify users who have already created an\naccount. The company also needs to keep track of the number of guest users who\neventually create an account.\n\nWhich combination of steps will meet these requirements? (Choose two.)""]",Create an Amazon Cognito user pool. Configure the user pool to allow unauthenticated users. Exchange user tokens for temporary credentials that allow authenticated users to assume a role.,Create an Amazon Cognito identity pool. Configure the identity pool to allow unauthenticated users. Exchange unique identity for temporary credentials that allow all users to assume a role.,Create an Amazon CloudFront distribution. Configure the distribution to allow unauthenticated users. Exchange user tokens for temporary credentials that allow all users to assume a role.,Create a role for authenticated users that allows access to all content. Create a role for unauthenticated users that allows access to only the sample content.,"# Answer
- **Correct option:** A and B
- **Reason:** Option A involves using an Amazon Cognito user pool which can authenticate users and recognize existing accounts. Option B complements this by using an Amazon Cognito identity pool which allows both authenticated and unauthenticated users to access temporary credentials. This setup lets the application track guest users turning into registered users while providing a seamless experience.

# Example / Analogy
- Think of a library where anyone can enter (guest access) and browse a shelf of sample books (sample content). Once they decide they want to check out a book (create an account), they sign up and get a library card (authentication). The library can now keep track of how many visitors went from browsing to becoming members.

# Common Mistakes / Traps
- A common mistake is assuming that using only user pools or only identity pools will suffice. In this scenario, both are necessary to handle guest access while allowing for authenticated identity verification.

# Memory Tip
- Remember: **Cognito = Guest Browsing + User Authentication = Seamless User Experience!**"
67,"[""A company is updating an application to move the backend of the application from\nAmazon EC2 instances to a serverless model. The application uses an Amazon RDS\nfor MySQL DB instance and runs in a single VPC on AWS. The application and the\nDB instance are deployed in a private subnet in the VPC.\n\nThe company needs to connect AWS Lambda functions to the DB instance.\n\nWhich solution will meet these requirements?""]",Create Lambda functions inside the VPC with the AWSLambdaBasicExecutionRole policy attached to the Lambda execution role. Modify the RDS security group to allow inbound access from the Lambda security group.,Create Lambda functions inside the VPC with the AWSLambdaVPCAccessExecutionRole policy attached to the Lambda execution role. Modify the RDS security group to allow inbound access from the Lambda security group.,Create Lambda functions with the AWSLambdaBasicExecutionRole policy attached to the Lambda execution role. Create an interface VPC endpoint for the Lambda functions. Configure the interface endpoint policy to allow the lambda:InvokeFunclion action for each Lambda function's Amazon Resource Name (ARN).,Create Lambda functions with the AWSLambdaVPCAccessExecutionRole policy attached to the Lambda execution role. Create an interface VPC endpoint for the Lambda functions. Configure the interface endpoint policy to allow the lambda:InvokeFunction action for each Lambda function's Amazon Resource Name (ARN).,"# Answer
- **Correct option:** B
- **Reason:** To allow AWS Lambda functions to access resources within a VPC, the Lambda functions must be configured to run inside the VPC by selecting appropriate subnets and security groups. The AWSLambdaVPCAccessExecutionRole policy grants the necessary permissions for Lambda to access resources in the VPC, including the Amazon RDS instance. Additionally, modifying the RDS security group to allow inbound access from the Lambda security group ensures that traffic from the Lambda functions to the RDS database is permitted.

# Example / Analogy
- Think of AWS Lambda functions as guests in a private club (VPC), and the Amazon RDS instance as a specific room in that club. The AWSLambdaVPCAccessExecutionRole policy is like a special invitation (membership access) that allows the guests (Lambda functions) to enter the club and access the room (RDS instance). If the room (RDS) doesn’t allow guests from the club (via security group rules), they won't be able to access it even if they have the right invitation.

# Common Mistakes / Traps
- A common mistake is to choose options that do not include the AWSLambdaVPCAccessExecutionRole policy, believing that basic execution permissions are sufficient. Another potential trap is misunderstanding how the security group rules work; it's crucial to allow inbound access from the Lambda function's security group to the RDS instance.

# Memory Tip
- Remember: ""VPC access needs the right role (AWSLambdaVPCAccessExecutionRole) AND correct security groups!"""
68,"[""A company has a web application that runs on Amazon EC2 instances with a custom\nAmazon Machine Image (AMI). The company uses AWS CloudFormation to provision the\napplication. The application runs in the us-east-1 Region, and the company needs\nto deploy the application to the us-west-1 Region.\n\nAn attempt to create the AWS CloudFormation stack in us-west-1 fails. An error\nmessage states that the AMI ID does not exist. A developer must resolve this\nerror with a solution that uses the least amount of operational overhead.\n\nWhich solution meets these requirements?""]",Change the AWS CloudFormation templates for us-east-1 and us-west-1 to use an AWS AMI. Relaunch the stack for both Regions.,Copy the custom AMI from us-east-1 to us-west-1. Update the AWS CloudFormation template for us-west-1 to refer to AMI ID for the copied AMI. Relaunch the stack.,Build the custom AMI in us-west-1. Create a new AWS CloudFormation template to launch the stack in us-west-1 with the new AMI ID.,Manually deploy the application outside AWS CloudFormation in us-west-1.,"# Answer
- **Correct option:** B

- **Reason:** Copying the custom AMI from us-east-1 to us-west-1 allows you to retain the configured image for use in the new region. Updating the AWS CloudFormation template to reference the new AMI ID ensures that the stack can be launched successfully in us-west-1. This approach minimizes operational overhead because it leverages the existing settings and infrastructure while only requiring a few straightforward updates.

# Example / Analogy
- Imagine you have a favorite recipe for a cake (the custom AMI) that you typically bake in one kitchen (us-east-1). If you want to bake the same cake in another kitchen (us-west-1), you wouldn't start from scratch; instead, you would copy your recipe to that kitchen, slightly adjust it to fit the new environment, and then bake. This is similar to copying the AMI to the new region and modifying the CloudFormation template.

# Common Mistakes / Traps
- A common pitfall is to choose option A, which suggests using a generic AMI instead of the custom one. This might not satisfy specific configurations or dependencies that the original custom AMI provided.
- Another mistake could be thinking that updating the CloudFormation template alone (without the AMI copy) would work, which is incorrect since the specified AMI ID will not exist in the target region initially.

# Memory Tip
- ""Copy your recipe (AMI) to the new kitchen (region) before baking (deploying)!"""
69,"[""A developer is updating several AWS Lambda functions and notices that all the\nLambda functions share the same custom libraries. The developer wants to\ncentralize all the libraries, update the libraries in a convenient way, and keep\nthe libraries versioned.\n\nWhich solution will meet these requirements with the LEAST development effort?""]",Create an AWS CodeArtifact repository that contains all the custom libraries.,Create a custom container image for the Lambda functions to save all the custom libraries.,Create a Lambda layer that contains all the custom libraries.,Create an Amazon Elastic File System (Amazon EFS) file system to store all the custom libraries.,"# Answer
- **Correct option:** C : Create a Lambda layer that contains all the custom libraries.
- **Reason:** Lambda layers allow you to package and manage shared libraries separately from your Lambda function code. This means you can easily update the library versions, share them among multiple functions, and keep the libraries organized. Using layers is a built-in feature of AWS Lambda that minimizes additional development effort while ensuring version control and centralized management.

# Example / Analogy
- Consider a school where every student (Lambda function) needs to use the same textbooks (custom libraries) for different subjects. Instead of each student carrying their own heavy textbooks (bloating each function), the school provides a central library (Lambda layer) where all the textbooks are stored. Students can easily borrow the books they need, and if a new edition comes out, the school simply updates it in the library, making it available for all students instantly.

# Common Mistakes / Traps
- A common mistake is to think that packaging libraries in a container (Option B) is necessary. While this works, it introduces more complexity compared to using layers. Another mistake could be underestimating Lambda layers' ability to manage shared code efficiently and not leveraging this feature when it’s ideal for the scenario.

# Memory Tip
- **Think of Lambda layers as a centralized library for your Lambda functions’ shared resources.**"
70,"[""A company is providing read access to objects in an Amazon S3 bucket for\ndifferent customers. The company uses IAM permissions to restrict access to the\nS3 bucket. The customers can access only their own files.\n\nDue to a regulation requirement, the company needs to enforce encryption in\ntransit for interactions with Amazon S3.\n\nWhich solution will meet these requirements?""]",Add a bucket policy to the S3 bucket to deny S3 actions when the aws:SecureTransport condition is equal to false.,Add a bucket policy to the S3 bucket to deny S3 actions when the s3:x-amz-acl condition is equal to public-read.,Add an IAM policy to the IAM users to enforce the usage of the AWS SDK.,Add an IAM policy to the IAM users that allows S3 actions when the s3:x-amz-acl condition is equal to bucket-owner-read.,"# Answer
- **Correct option:** A
- **Reason:** Adding a bucket policy to the S3 bucket that denies S3 actions when the `aws:SecureTransport` condition is equal to `false` ensures that all interactions with the S3 bucket are encrypted in transit. This means that any requests made over non-secure (HTTP) connections will be denied, thereby enforcing secure interaction with the S3 resources.

# Example / Analogy
- Think of it like a secure building that requires all people entering to pass through a metal detector (encryption) to ensure safety. If someone tries to enter without going through the detector (non-secure connection), they are turned away. Similarly, the bucket policy acts like that security measure, only allowing access via secure methods.

# Common Mistakes / Traps
- A common trap is misunderstanding the specific conditions that allow or restrict access. Focusing on other options that do not directly relate to enforcing encryption in transit can lead to selecting the wrong answer. Always check if the option is directly aligned with the requirement of enforcing secure connections.

# Memory Tip
- Remember: ""Secure Transport = Allowed; Non-Secure = Denied."""
71,"[""A company has an image storage web application that runs on AWS. The company\nhosts the application on Amazon EC2 instances in an Auto Scaling group. The Auto\nScaling group acts as the target group for an Application Load Balancer (ALB)\nand uses an Amazon S3 bucket to store the images for sale.\n\nThe company wants to develop a feature to test system requests. The feature will\ndirect requests to a separate target group that hosts a new beta version of the\napplication.\n\nWhich solution will meet this requirement with the LEAST effort?""]",Create a new Auto Scaling group and target group for the beta version of the application. Update the ALB routing rule with a condition that looks for a cookie named version that has a value of beta. Update the test system code to use this cookie to test the beta version of the application.,"Create a new ALB, Auto Scaling group, and target group for the beta version of the application. Configure an alternate Amazon Route 53 record for the new ALB endpoint. Use the alternate Route 53 endpoint in the test system requests to test the beta version of the application.","Create a new ALB, Auto Scaling group, and target group for the beta version of the application. Use Amazon CloudFront with Lambda@Edge to determine which specific request will go to the new ALB. Use the CloudFront endpoint to send the test system requests to test the beta version of the application.",Create a new Auto Scaling group and target group for the beta version of the application. Update the ALB routing rule with a condition that looks for a cookie named version that has a value of beta. Use Amazon CloudFront with Lambda@Edge to update the test system requests to add the required cookie when the requests go to the ALB.,"# Answer
- **Correct option:** A

- **Reason:** This option involves creating a new Auto Scaling group and target group for the beta version of the application which is the least effort solution. It suggests updating the existing Application Load Balancer (ALB) routing rule to direct traffic based on a specific cookie named ""version"" with a value of ""beta"". This allows the company to easily control which requests go to the beta version without needing significant infrastructure changes, like setting up a new ALB or using more complex solutions.

# Example / Analogy
- Think of it like a restaurant offering a special seasonal menu. Instead of creating a separate restaurant (like a new ALB), they could simply have a waiter ask customers if they’d like to try dishes from the special menu (using a cookie to identify the request) while still operating under the same establishment (the existing ALB).

# Common Mistakes / Traps
- A common mistake might be to overcomplicate the solution by assuming that a completely new system (like setting up additional infrastructure) is necessary instead of leveraging existing components. 

# Memory Tip
- Keep it simple: Use cookies to direct traffic rather than overengineering with new infrastructure."
