No,Content,A,B,C,D,Answered
82,"[""A developer is developing an application that uses signed requests (Signature\nVersion 4) to call other AWS services. The developer has created a canonical\nrequest, has created the string to sign, and has calculated signing information.\n\nWhich methods could the developer use to complete a signed request? (Choose\ntwo.)""]",Add the signature to an HTTP header that is named Authorization.,Add the signature to a session cookie.,Add the signature to an HTTP header that is named Authentication.,Add the signature to a query string parameter that is named X-Amz-Signature.,"# Answer
- **Correct option:** A and D
- **Reason:** To complete a signed request using Signature Version 4, the developer can add the signature to an HTTP header named Authorization (option A) or to a query string parameter named X-Amz-Signature (option D). The Authorization header is the standard method for sending credentials in AWS, while using a query string parameter is also acceptable for certain use cases, such as when the request is being made via a web browser.

# Example / Analogy
- Imagine sending a letter through the mail. You can either write your signature directly on the letter (like adding it to the Authorization header) or include it in a special envelope that highlights your signature (similar to adding it to a query string parameter). Both methods verify your identity and intent of sending the letter.

# Common Mistakes / Traps
- A common trap is selecting the incorrect option regarding how the signature should be passed. Some might confuse ""Authentication"" (which is not a valid header for AWS requests) or think cookies can be used like Microsoft signatures, but that’s not applicable in AWS’s signed request methodology.

# Memory Tip
- Remember: Signatures go in the Authorization header or as a query parameter X-Amz-Signature!"
83,"[""A company must deploy all its Amazon RDS DB instances by using AWS\nCloudFormation templates as part of AWS CodePipeline continuous integration and\ncontinuous delivery (CI/CD) automation. The primary password for the DB instance\nmust be automatically generated as part of the deployment process.\n\nWhich solution will meet these requirements with the LEAST development effort?""]",Create an AWS Lambda-backed CloudFormation custom resource. Write Lambda code that generates a secure string. Return the value of the secure string as a data field of the custom resource response object. Use the CloudFormation Fn::GetAtt intrinsic function to get the value of the secure string. Use the value to create the DB instance.,Use the AWS CodeBuild action of CodePipeline to generate a secure string by using the following AWS CLI command: aws secretsmanager get-random-password. Pass the generated secure string as a CloudFormation parameter with the NoEcho attribute set to true. Use the parameter reference to create the DB instance.,Create an AWS Lambda-backed CloudFormation custom resource. Write Lambda code that generates a secure string. Return the value of the secure string as a data field of the custom resource response object. Use the CloudFormation Fn::GetAtt intrinsic function to get a value of the secure string. Create secrets in AWS Secrets Manager. Use the secretsmanager dynamic reference to use the value stored in the secret to create the DB instance.,Use the AWS::SecretsManager::Secret resource to generate a secure string. Store the secure string as a secret in AWS Secrets Manager. Use the secretsmanager dynamic reference to use the value stored in the secret to create the DB instance.,"# Answer
- **Correct option:** D 
- **Reason:** This option uses the AWS::SecretsManager::Secret resource to generate and store a secure string/password in AWS Secrets Manager directly as part of the CloudFormation template. This method is straightforward and incorporates best practices by leveraging Secrets Manager for secure password storage. It simplifies the process while adhering to AWS's security and resource management best practices, meeting the requirements with minimal additional effort.

# Example / Analogy
- Think of AWS Secrets Manager like a vault where you can keep your passwords safe and easily access them whenever needed. By using AWS CloudFormation to store the password directly into this vault, it’s like ensuring that instead of carrying a key in your pocket, it’s securely locked in a safe, accessed only when necessary.

# Common Mistakes / Traps
- A common mistake might be to think that using additional Lambda functions or complex custom resources is always necessary. This can lead to over-engineering solutions. Often, native solutions like AWS Secrets Manager can accomplish the task with less complexity and better maintainability.

# Memory Tip
- Remember: **“Use Secrets Manager for passwords, it's the simplest and safest path!”**"
84,"[""An organization is storing large files in Amazon S3, and is writing a web\napplication to display meta-data about the files to end-users. Based on the\nmetadata a user selects an object to download. The organization needs a\nmechanism to index the files and provide single-digit millisecond latency\nretrieval for the metadata.\n\nWhat AWS service should be used to accomplish this?""]",Amazon DynamoDB,Amazon EC2,AWS Lambda,Amazon RDS,"# Answer
- **Correct option:** A : Amazon DynamoDB
- **Reason:** Amazon DynamoDB is a fully managed NoSQL database service that provides single-digit millisecond response times at any scale. This makes it ideal for storing and retrieving metadata about files quickly, as required by the web application.

# Example / Analogy
- Think of DynamoDB like a high-speed library where you can quickly look up book information (metadata) based on various attributes (like author, genre, etc.) rather than scanning each book (file) physically. Just as you can find a book by searching its title or author in a well-organized library, DynamoDB allows quick indexing and retrieval of metadata.

# Common Mistakes / Traps
- A common mistake is to confuse the need for fast metadata retrieval (DynamoDB) with the necessity to store files or larger data sets. Candidates might mistakenly think they could use Amazon RDS (a relational database) which, while it can store more complex queries, typically involves higher latency compared to DynamoDB.

# Memory Tip
- Remember: **DynamoDB is your go-to for high-speed metadata access – it's like your metadata librarian!**"
85,"[""A developer is creating an AWS Serverless Application Model (AWS SAM) template.\nThe AWS SAM template contains the definition of multiple AWS Lambda functions,\nan Amazon S3 bucket, and an Amazon CloudFront distribution. One of the Lambda\nfunctions runs on Lambda@Edge in the CloudFront distribution. The S3 bucket is\nconfigured as an origin for the CloudFront distribution.\n\nWhen the developer deploys the AWS SAM template in the eu-west-1 Region, the\ncreation of the stack fails.\n\nWhich of the following could be the reason for this issue?""]",CloudFront distributions can be created only in the us-east-1 Region.,Lambda@Edge functions can be created only in the us-east-1 Region.,A single AWS SAM template cannot contain multiple Lambda functions.,The CloudFront distribution and the S3 bucket cannot be created in the same Region.,"# Answer
- **Correct option:** B
- **Reason:** Lambda@Edge functions are a specific type of AWS Lambda function that can only be created and associated with CloudFront distributions in the us-east-1 (N. Virginia) Region. Although the CloudFront distribution itself can be used globally, the function must be created in us-east-1 for it to be associated with the CloudFront distribution before it is deployed globally.

# Example / Analogy
- Think of a movie premiere event (the CloudFront distribution) that can take place in various theaters worldwide. However, the movie (Lambda@Edge function) must be finalized and produced in a specific studio (us-east-1) before it can be shown anywhere else. Essentially, even though the premiere is global, the actual movie has to be made in that one location.

# Common Mistakes / Traps
- A common trap is misunderstanding the relationship between Lambda functions and CloudFront distributions. Developers may think they can deploy Lambda@Edge functions in any region where other elements of the CloudFront setup can be managed, not realizing the specific requirement for us-east-1.

# Memory Tip
- Remember: Lambda@Edge is like a movie that must be made in us-east-1 before it goes global."
86,"[""A developer is integrating Amazon ElastiCache in an application. The cache will\nstore data from a database. The cached data must populate real-time dashboards.\n\nWhich caching strategy will meet these requirements?""]",A read-through cache,A write-behind cache,A lazy-loading cache,A write-through cache,"# Answer
- **Correct option:** A : A read-through cache
- **Reason:** A read-through cache allows the application to automatically fetch data from the database and populate the cache when there is a cache miss (i.e., when the requested data is not found in the cache). This strategy is ideal for real-time applications since it ensures that the most current data is fetched and stored in the cache for quick access, which aligns perfectly with the requirement of populating real-time dashboards.

# Example / Analogy
- Think of a read-through cache like a library with a smart librarian. When you request a book (data), if it's not on the shelf (cache), the librarian goes to find it in the storage room (database) and brings it back for you. In future requests, the book is available on the shelf, allowing for quick access without delays.

# Common Mistakes / Traps
- A common mistake is confusing a read-through cache with a write-through cache. In a write-through cache, updates are made to both the cache and the database immediately, which may not always ensure the real-time aspect needed for dashboards. 

# Memory Tip
- ""Read-through is like a smart librarian fetching fresh books for you."""
87,"[""A developer is creating an AWS Lambda function. The Lambda function needs an\nexternal library to connect to a third-party solution. The external library is a\ncollection of files with a total size of 100 MB. The developer needs to make the\nexternal library available to the Lambda execution environment and reduce the\nLambda package space.\n\nWhich solution will meet these requirements with the LEAST operational overhead?""]",Create a Lambda layer to store the external library. Configure the Lambda function to use the layer.,Create an Amazon S3 bucket. Upload the external library into the S3 bucket. Mount the S3 bucket folder in the Lambda function. Import the library by using the proper folder in the mount point.,Load the external library to the Lambda function's /tmp directory during deployment of the Lambda package. Import the library from the /tmp directory.,Create an Amazon Elastic File System (Amazon EFS) volume. Upload the external library to the EFS volume. Mount the EFS volume in the Lambda function. Import the library by using the proper folder in the mount point.,"# Answer
- **Correct option:** A
- **Reason:** Creating a Lambda layer to store the external library allows you to package the library separately from your Lambda function code. This method helps to keep the Lambda package size within the limits and reduces operational overhead by making the libraries available across multiple functions without needing to include them in every deployment package.

# Example / Analogy
- Think of Lambda layers like a toolbox that you can share among various projects. Instead of duplicating the same set of tools (libraries) in different toolboxes (Lambda functions), you just keep one shared toolbox (the layer) and refer to it whenever you need those tools.

# Common Mistakes / Traps
- A common mistake would be choosing option B (using S3) or D (using EFS) thinking they may seem like effective solutions. However, both involve more complexity and administrative effort compared to simply using Lambda layers, which are designed specifically for this purpose.

# Memory Tip
- **Layers are the shared toolbox for Lambda, reducing clutter and making deployment simpler.**"
88,"[""A company has a front-end application that runs on four Amazon EC2 instances\nbehind an Elastic Load Balancer (ELB) in a production environment that is\nprovisioned by AWS Elastic Beanstalk. A developer needs to deploy and test new\napplication code while updating the Elastic Beanstalk platform from the current\nversion to a newer version of Node.js. The solution must result in zero downtime\nfor the application.\n\nWhich solution meets these requirements?""]","Clone the production environment to a different platform version. Deploy the new application code, and test it. Swap the environment URLs upon verification.",Deploy the new application code in an all-at-once deployment to the existing EC2 instances. Test the code. Redeploy the previous code if verification fails.,Perform an immutable update to deploy the new application code to new EC2 instances. Serve traffic to the new instances after they pass health checks.,Use a rolling deployment for the new application code. Apply the code to a subset of EC2 instances until the tests pass. Redeploy the previous code if the tests fail.,"# Answer
- **Correct option:** A
- **Reason:** Cloning the production environment allows the developer to deploy and test the new application code and platform version without affecting the live application. Once the new environment is verified, swapping the environment URLs ensures zero downtime as users are directed to the fully tested environment.

# Example / Analogy
- Think of it like a restaurant that builds a new kitchen (the cloned environment) while still serving customers from the old one. The restaurant can test new recipes in the new kitchen, and once everything is perfect, they switch over completely, so diners don’t notice any disruption.

# Common Mistakes / Traps
- A common mistake is thinking that rolling or immutable updates are sufficient for zero downtime, which they can be, but they require careful implementation. Additionally, ""all-at-once"" deployments (like option B) can lead to downtime if something goes wrong.

# Memory Tip
- **Tip:** Use clones for safe changes—test first, switch URLs later!"
89,"[""A company has a critical application on AWS. The application exposes an HTTP API\nby using Amazon API Gateway. The API is integrated with an AWS Lambda function.\nThe application stores data in an Amazon RDS for MySQL DB instance with 2\nvirtual CPUs (vCPUs) and 64 GB of RAM.\n\nCustomers have reported that some of the API calls return HTTP 500 Internal\nServer Error responses. Amazon CloudWatch Logs shows errors for “too many\nconnections.” The errors occur during peak usage times that are unpredictable.\n\nThe company needs to make the application resilient. The database cannot be down\noutside of scheduled maintenance hours.\n\nWhich solution will meet these requirements?""]",Decrease the number of vCPUs for the DB instance. Increase the max_connections setting.,Use Amazon RDS Proxy to create a proxy that connects to the DB instance. Update the Lambda function to connect to the proxy.,"Add a CloudWatch alarm that changes the DB instance class when the number of connections increases to more than 1,000.",Add an Amazon EventBridge rule that increases the max_connections setting of the DB instance when CPU utilization is above 75%.,"# Answer
- **Correct option:** B : Use Amazon RDS Proxy to create a proxy that connects to the DB instance. Update the Lambda function to connect to the proxy.

- **Reason:** Amazon RDS Proxy helps manage database connections more efficiently, especially during peak usage times when you're encountering ""too many connections"" errors. It acts as a connection pool that reduces the number of connections made to your RDS instance by reusing connections, which optimizes resource utilization and can improve application resilience.

# Example / Analogy
- Think of RDS Proxy as a traffic police officer at a busy intersection. Just as the officer helps manage the flow of cars, preventing congestion and maintaining smooth traffic, RDS Proxy helps manage database connections, ensuring your application doesn't overwhelm the database with too many requests at once and avoids errors like “too many connections.”

# Common Mistakes / Traps
- A common trap is to assume that simply increasing instance resources (like vCPUs or max_connections) will solve the problem. While this might help to some extent, it does not address the fundamental issue of connection management during peak loads.

# Memory Tip
- Remember: ""RDS Proxy is the traffic controller for my database connections."""
90,"[""A company has installed smart meters in all its customer locations. The smart\nmeters measure power usage at 1-minute intervals and send the usage readings to\na remote endpoint for collection. The company needs to create an endpoint that\nwill receive the smart meter readings and store the readings in a database. The\ncompany wants to store the location ID and timestamp information.\n\nThe company wants to give its customers low-latency access to their current\nusage and historical usage on demand. The company expects demand to increase\nsignificantly. The solution must not impact performance or include downtime\nwhile scaling.\n\nWhich solution will meet these requirements MOST cost-effectively?""]",Store the smart meter readings in an Amazon RDS database. Create an index on the location ID and timestamp columns. Use the columns to filter on the customers' data.,Store the smart meter readings in an Amazon DynamoDB table. Create a composite key by using the location ID and timestamp columns. Use the columns to filter on the customers' data.,Store the smart meter readings in Amazon ElastiCache for Redis. Create a SortedSet key by using the location ID and timestamp columns. Use the columns to filter on the customers' data.,Store the smart meter readings in Amazon S3. Partition the data by using the location ID and timestamp columns. Use Amazon Athena to filter on the customers' data.,"# Answer
- **Correct option:** B
- **Reason:** Amazon DynamoDB is a fully managed NoSQL database that offers low-latency access and scales seamlessly to handle increased demand without downtime. By using a composite key of location ID and timestamp, you can effectively query and filter the data for customers' smart meter readings.

# Example / Analogy
- Think of DynamoDB like a library with well-organized sections (keys) based on genres (location ID) and publication dates (timestamp). This allows you to quickly find the books (data) you want without sifting through an entire shelf, mirroring how DynamoDB allows fast access to specific readings without impacting performance.

# Common Mistakes / Traps
- A common trap is assuming that traditional SQL databases like Amazon RDS (Option A) can scale without performance issues. While RDS can handle queries, it may require more management and can face scaling challenges when demand spikes. Option C (ElastiCache) focuses on caching rather than persistent storage, which doesn't suit the requirement of storing historical usage effectively. Option D (S3 with Athena) can introduce latency when querying the data for low-latency access.

# Memory Tip
- Remember: For real-time performance and scalability with high concurrency, choose DynamoDB as your cloud database solution."
91,"[""A developer is configuring an application's deployment environment in AWS\nCodePipeline. The application code is stored in a GitHub repository. The\ndeveloper wants to ensure that the repository package's unit tests run in the\nnew deployment environment. The developer has already set the pipeline's source\nprovider to GitHub and has specified the repository and branch to use in the\ndeployment.\n\nWhich combination of steps should the developer take next to meet these\nrequirements with the LEAST overhead? (Choose two.)""]",Create an AWS CodeCommit project. Add the repository package's build and test commands to the project's buildspec.,Create an AWS CodeBuild project. Add the repository package's build and test commands to the project's buildspec.,Create an AWS CodeDeploy project. Add the repository package's build and test commands to the project's buildspec.,Add an action to the source stage. Specify the newly created project as the action provider. Specify the build artifact as the action's input artifact.,"# Answer
- **Correct options:** B and D

- **Reason:** 
  To run unit tests as part of a deployment process in AWS CodePipeline, the developer should create an AWS CodeBuild project (option B) that will execute the build commands specified in the buildspec file, which includes the unit tests. Then, the developer must add an action to the source stage of the pipeline (option D), specifying the CodeBuild project as the provider. This configuration allows CodePipeline to trigger the test and build processes as soon as there's a change in the GitHub repository, thus ensuring that tests are run automatically with the least overhead.

# Example / Analogy
- Think of it like a cooking competition. You have the ingredients (your source code in GitHub) and a cooking station (CodeBuild). You set up a recipe card (buildspec) with specific instructions to prepare your dish (build and run tests). Once your ingredients are ready, the competition (CodePipeline) calls you to start cooking (running tests and building), monitoring your progress throughout the stages.

# Common Mistakes / Traps
- A common mistake would be to overlook the necessity of linking the CodeBuild project with the CodePipeline. Some might mistakenly assume that merely creating a CodeDeploy project is sufficient, but CodeDeploy is primarily for deployment rather than handling builds and tests.

# Memory Tip
- Remember: ""Build with CodeBuild, Test with CodePipeline."""
