No,Content,A,B,C,D,Answered
2,"[""A company wants to share information with a third party. The third party has an\nHTTP API endpoint that the company can use to share the information. The company\nhas the required API key to access the HTTP API.\nThe company needs a way to manage the API key by using code. The integration of\nthe API key with the application code cannot affect application performance.\nWhich solution will meet these requirements MOST securely?""]",Store the API credentials in AWS Secrets Manager. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in a local code variable. Push the code to a secure Git repository. Use the local code variable at runtime to make the API call.,Store the API credentials as an object in a private Amazon S3 bucket. Restrict access to the S3 object by using IAM policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in an Amazon DynamoDB table. Restrict access to the table by using resource-based policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,"# Answer
- **Correct option:** A

- **Reason:** Storing the API credentials in AWS Secrets Manager allows for secure management and retrieval of sensitive information like API keys. Secrets Manager automatically handles encryption, access control, and key rotation, while also providing easy access via the AWS SDK, ensuring that the application performance remains unaffected at runtime. This approach is also in line with best practices for security and compliance.

# Example / Analogy
- Think of AWS Secrets Manager like a secure vault where you can store your valuable jewels (API keys). Just like you wouldn’t want to carry your expensive jewelry around in the open, secrets should not be hardcoded in your application. Instead, they should be stored securely and accessed only when needed.

# Common Mistakes / Traps
- A common mistake is to think that storing sensitive information directly in application code (like choice B) or simply using a less secure method (like S3 or DynamoDB without added security features) is sufficient. This goes against security best practices and can expose sensitive information to unintended access.

# Memory Tip
- Always store secrets securely, not in code; use AWS Secrets Manager for best security practices!"
3,"[""A company wants to share information with a third party. The third party has an\nHTTP API endpoint that the company can use to share the information. The company\nhas the required API key to access the HTTP API.\nThe company needs a way to manage the API key by using code. The integration of\nthe API key with the application code cannot affect application performance.\nWhich solution will meet these requirements MOST securely?""]",Store the API credentials in AWS Secrets Manager. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in a local code variable. Push the code to a secure Git repository. Use the local code variable at runtime to make the API call.,Store the API credentials as an object in a private Amazon S3 bucket. Restrict access to the S3 object by using IAM policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in an Amazon DynamoDB table. Restrict access to the table by using resource-based policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,"# Answer
- **Correct option:** A
- **Reason:** Storing the API key in AWS Secrets Manager provides a secure and controlled way to manage sensitive information. This method allows for automatic retrieval of the credentials at runtime without compromising application performance. Secrets Manager also offers built-in encryption and fine-grained access control, ensuring that only authorized entities can access the API key.

# Example / Analogy
- Think of AWS Secrets Manager as a secure vault where you can store your valuables (like API keys) along with instructions on how to access them. Just as you wouldn’t keep your valuables in plain sight at home, you shouldn’t hardcode sensitive data (like API keys) in your application code. Instead, you can ""check out"" what you need from the vault when you need it, ensuring only the right people can access it.

# Common Mistakes / Traps
- A common trap is to consider local variables or configuration files for storing API keys, as this can lead to unintentional exposure or hardcoding of credentials in the source code. Many developers might think pushing code to a secure Git repository keeps it safe, but repositories can be inadvertently accessed by unauthorized users or leaked.

# Memory Tip
- **""Use the vault for your secrets: store them securely in Secrets Manager!""**"
4,"[""A developer is deploying a new application to Amazon Elastic Container Service\n(Amazon ECS). The developer needs to securely store and retrieve different types\nof variables. These variables include authentication information for a remote\nAPI, the URL for the API, and credentials. The authentication information and\nAPI URL must be available to all current and future deployed versions of the\napplication across development, testing, and production environments.\nHow should the developer retrieve the variables with the FEWEST application\nchanges?""]",Update the application to retrieve the variables from AWS Systems Manager Parameter Store. Use unique paths in Parameter Store for each variable in each environment. Store the credentials in AWS Secrets Manager in each environment.,Update the application to retrieve the variables from AWS Key Management Service (AWS KMS). Store the API URL and credentials as unique keys for each environment.,Update the application to retrieve the variables from an encrypted file that is stored with the application. Store the API URL and credentials in unique files for each environment.,Update the application to retrieve the variables from each of the deployed environments. Define the authentication information and API URL in the ECS task definition as unique names during the deployment process.,"# Answer
- **Correct option:** A
- **Reason:** Option A suggests using AWS Systems Manager Parameter Store for application variables and AWS Secrets Manager for credentials. This approach allows for secure storage and retrieval of sensitive information with minimal application code changes across different environments (development, testing, and production). Parameter Store offers straightforward integration with ECS and maintains a single source of truth for all environments, ensuring consistency.

# Example / Analogy
- Think of Parameter Store like a secure vault for your app's keys. Just as a hotel might have a single lock system for all rooms, you keep all environment variables in the same “vault”. You simply call out to that vault when you need a key (variable), and it provides the right one based on what room (environment) you are currently in.

# Common Mistakes / Traps
- A common mistake is assuming that each environment needs separate code or hardcoding values into the application, which complicates deployments and can lead to security risks. Option B might seem appealing with AWS KMS but is not really designed for easy retrieval of config values like Parameter Store or Secrets Manager.

# Memory Tip
- AWS Parameter Store is the vault for variables; use it to avoid hardcoding and control access securely."
5,"[""A developer is creating an application that will give users the ability to store\nphotos from their cellphones in the cloud. The application needs to support tens\nof thousands of users. The application uses an Amazon API Gateway REST API that\nis integrated with AWS Lambda functions to process the photos. The application\nstores details about the photos in Amazon DynamoDB.\nUsers need to create an account to access the application. In the application,\nusers must be able to upload photos and retrieve previously uploaded photos. The\nphotos will range in size from 300 KB to 5 MB.\nWhich solution will meet these requirements with the LEAST operational overhead?""]",Use Amazon Cognito user pools to manage user accounts. Create an Amazon Cognito user pool authorizer in API Gateway to control access to the API. Use the Lambda function to store the photos and details in the DynamoDB table. Retrieve previously uploaded photos directly from the DynamoDB table.,Use Amazon Cognito user pools to manage user accounts. Create an Amazon Cognito user pool authorizer in API Gateway to control access to the API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as part of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,Create an IAM user for each user of the application during the sign-up process. Use IAM authentication to access the API Gateway API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as part of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,Create a users table in DynamoDB. Use the table to manage user accounts. Create a Lambda authorizer that validates user credentials against the users table. Integrate the Lambda authorizer with API Gateway to control access to the API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as par of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,"# Answer
- **Correct option:** B
- **Reason:** Option B uses Amazon Cognito user pools to manage user accounts, which simplifies user management and authentication, especially for applications that need to scale to tens of thousands of users. It also leverages Amazon S3 for storing photos, which is the ideal solution for handling large file uploads efficiently. Storing the S3 key in DynamoDB minimizes the operational overhead while enabling quick retrieval of the photos.

# Example / Analogy
- Think of Amazon S3 as a warehouse where all your photos are stored, and DynamoDB as an indexed catalog that tells you where each photo is located in the warehouse. Instead of digging through the warehouse (S3) to find a photo, you just look it up in the catalog (DynamoDB) for quick access.

# Common Mistakes / Traps
- A common trap is to try to store the photos in DynamoDB directly, which is not efficient given DynamoDB's limitations on item size and costs related to storage. Also, relying on IAM user creation for each individual can lead to immense management overhead and loss of scalability.

# Memory Tip
- ""Cognito for accounts, S3 for storage, DynamoDB for indexing."""
6,"[""A company receives food orders from multiple partners. The company has a\nmicroservices application that uses Amazon API Gateway APIs with AWS Lambda\nintegration. Each partner sends orders by calling a customized API that is\nexposed through API Gateway. The API call invokes a shared Lambda function to\nprocess the orders.\nPartners need to be notified after the Lambda function processes the orders.\nEach partner must receive updates for only the partner's own orders. The company\nwants to add new partners in the future with the fewest code changes possible.\nWhich solution will meet these requirements in the MOST scalable way?""]",Create a different Amazon Simple Notification Service (Amazon SNS) topic for each partner. Configure the Lambda function to publish messages for each partner to the partner's SNS topic.,Create a different Lambda function for each partner. Configure the Lambda function to notify each partner's service endpoint directly.,Create an Amazon Simple Notification Service (Amazon SNS) topic. Configure the Lambda function to publish messages with specific attributes to the SNS topic. Subscribe each partner to the SNS topic. Apply the appropriate filter policy to the topic subscriptions.,Create one Amazon Simple Notification Service (Amazon SNS) topic. Subscribe all partners to the SNS topic.,"# Answer
- **Correct option:** C

- **Reason:** This solution allows for scalability by using a single Amazon Simple Notification Service (SNS) topic that can accommodate many partners easily. By publishing messages with specific attributes, the Lambda function can differentiate notifications for each partner. Each partner can subscribe to the SNS topic with a filter policy that ensures they only receive updates relevant to their own orders. This setup reduces the need for multiple resources and code changes when adding new partners.

# Example / Analogy
- Imagine a post office where each partner is a house that receives mail. Instead of building separate mailboxes for each house (which would be cumbersome), the post office has one central mailbox (the SNS topic). Letters dispatched from the post office have specific addresses (attributes). When a new house moves in (a new partner), the post office simply adds their address to the mailing list without needing a new mailbox or significant changes to the system.

# Common Mistakes / Traps
- A common mistake would be to choose option A and create separate SNS topics for each partner. While this meets the requirement, it does not scale well since every new partner would necessitate additional topics, complicating configuration and management. Options B and D also fall short as they either lead to increased complex configurations or all partners receiving every notification without filtering.

# Memory Tip
- Think of SNS like a central post office: one topic, many recipients, filtered mail."
7,"[""A developer has written an AWS Lambda function. The function is CPU-bound. The\ndeveloper wants to ensure that the function returns responses quickly.\nHow can the developer improve the function's performance?""]",Increase the function's CPU core count.,Increase the function's memory.,Increase the function's reserved concurrency.,Increase the function's timeout.,"# Answer
- **Correct option:** B : Increase the function's memory.

- **Reason:** In AWS Lambda, the CPU and memory allocation are linked. By increasing the memory for a Lambda function, you also increase the CPU resources allocated to it. For CPU-bound tasks, having more memory means that the function will have more CPU power available, allowing it to process tasks more quickly and efficiently.

# Example / Analogy
- Think of a chef in a kitchen where the number of stoves (CPU) is limited by the kitchen's size (memory). If the chef has access to more space, they can set up more stoves, cook more dishes at once, and thus serve the customers faster. By increasing the memory allocated to the Lambda function, you're effectively allowing it more ""stoves"" to work with, speeding up the processing time.

# Common Mistakes / Traps
- A common mistake is selecting option A (Increase the function's CPU core count). While it seems logical to want more CPU power, AWS Lambda does not allow you to directly adjust the number of CPU cores; it allows you to adjust memory, which indirectly increases CPU allocation based on the memory size.

# Memory Tip
- **More memory = more CPU power in Lambda!**"
8,"[""A company is building a serverless application on AWS. The application uses an\nAWS Lambda function to process customer orders 24 hours a day, 7 days a week.\nThe Lambda function calls an external vendor's HTTP API to process payments.\nDuring load tests, a developer discovers that the external vendor payment\nprocessing API occasionally times out and returns errors. The company expects\nthat some payment processing API calls will return errors.\nThe company wants the support team to receive notifications in near real time\nonly when the payment processing external API error rate exceed 5% of the total\nnumber of transactions in an hour. Developers need to use an existing Amazon\nSimple Notification Service (Amazon SNS) topic that is configured to notify the\nsupport team.\nWhich solution will meet these requirements?""]",Write the results of payment processing API calls to Amazon CloudWatch. Use Amazon CloudWatch Logs Insights to query the CloudWatch logs. Schedule the Lambda function to check the CloudWatch logs and notify the existing SNS topic.,Publish custom metrics to CloudWatch that record the failures of the external payment processing API calls. Configure a CloudWatch alarm to notify the existing SNS topic when error rate exceeds the specified rate.,Publish the results of the external payment processing API calls to a new Amazon SNS topic. Subscribe the support team members to the new SNS topic.,Write the results of the external payment processing API calls to Amazon S3. Schedule an Amazon Athena query to run at regular intervals. Configure Athena to send notifications to the existing SNS topic when the error rate exceeds the specified rate.,"# Answer
- **Correct option:** B
- **Reason:** Publishing custom metrics to Amazon CloudWatch allows the application to track error rates by capturing failures specifically from the payment processing API calls. A CloudWatch alarm can be configured to monitor these metrics and can trigger a notification via the existing SNS topic if the error rate exceeds 5%, meeting the company's requirements for near real-time alerts based on defined thresholds.

# Example / Analogy
- Imagine you're managing a restaurant's orders, and you set up a system that logs all customer complaints. If more than 5% of the customers report issues with orders in an hour, you want to be notified immediately to address the problem. By continuously tracking complaints (similar to CloudWatch metrics), you can swiftly react if the business's performance dips.

# Common Mistakes / Traps
- A common mistake is to think that simply logging the results (as in option A) or storing results in S3 (as in option D) is adequate for monitoring error rates. While these methods can provide data, they don’t facilitate immediate alerting and monitoring of key metrics, which is critical for timely response.

# Memory Tip
- Track key metrics with CloudWatch to alert swiftly; don't rely on logs or delayed queries."
9,"[""A company is offering APIs as a service over the internet to provide\nunauthenticated read access to statistical information that is updated daily.\nThe company uses Amazon API Gateway and AWS Lambda to develop the APIs. The\nservice has become popular, and the company wants to enhance the responsiveness\nof the APIs.\nWhich action can help the company achieve this goal?""]",Enable API caching in API Gateway.,Configure API Gateway to use an interface VPC endpoint.,Enable cross-origin resource sharing (CORS) for the APIs.,Configure usage plans and API keys in API Gateway.,"# Answer
- **Correct option:** A : Enable API caching in API Gateway.
- **Reason:** Enabling API caching allows responses from the API to be stored temporarily, which can significantly reduce the latency for subsequent requests, as these requests can be served from the cache rather than invoking the backend services (like Lambda) each time. This is particularly effective for read access APIs where the data does not change frequently, such as daily statistics.

# Example / Analogy
- Think of API caching like a library that allows you to borrow books. Instead of ordering a new book every time someone wants to read it, the library keeps popular books on a shelf ready for quick access. This reduces waiting time for readers (similar to reducing response time for users) since they can get the book immediately without having to wait for it to be ordered and delivered again.

# Common Mistakes / Traps
- A common mistake is to assume that enabling CORS or configuring usage plans directly improves API performance. While these are useful features, they do not directly enhance responsiveness in terms of reducing latency for read access operations.

# Memory Tip
- ""Cache to dash: speed up APIs with cached responses!"""
10,"[""A developer wants to store information about movies. Each movie has a title,\nrelease year, and genre. The movie information also can include additional\nproperties about the cast and production crew. This additional information is\ninconsistent across movies. For example, one movie might have an assistant\ndirector, and another movie might have an animal trainer.\nThe developer needs to implement a solution to support the following use cases:\nFor a given title and release year, get all details about the movie that has\nthat title and release year.\nFor a given title, get all details about all movies that have that title.\nFor a given genre, get all details about all movies in that genre.\nWhich data store configuration will meet these requirements?""]",Create an Amazon DynamoDB table. Configure the table with a primary key that consists of the title as the partition key and the release year as the sort key. Create a global secondary index that uses the genre as the partition key and the title as the sort key.,Create an Amazon DynamoDB table. Configure the table with a primary key that consists of the genre as the partition key and the release year as the sort key. Create a global secondary index that uses the title as the partition key.,"On an Amazon RDS DB instance, create a table that contains columns for title, release year, and genre. Configure the title as the primary key.","On an Amazon RDS DB instance, create a table where the primary key is the title and all other data is encoded into JSON format as one additional column.","# Answer
- **Correct option:** A
- **Reason:** Option A proposes a suitable design using Amazon DynamoDB with a primary key composed of the title as the partition key and the release year as the sort key. This allows for efficient querying of a specific movie detail using both the title and release year. Moreover, the global secondary index (GSI) on genre enables querying all movies by their genre. This structure effectively meets all the specified use cases.

# Example / Analogy
- Real-life example: Think of a library where books are organized by both title and year of publication. If you know the title and year, you can easily find the book, much like querying in DynamoDB with the primary key. Additionally, if you want to find all books of a specific genre, a separate shelf for genres acts like the global secondary index in DynamoDB.

# Common Mistakes / Traps
- A common mistake is assuming that a single primary key can satisfy all query requirements. Some options might seem simpler but could limit querying flexibility. For instance, Option C confining title as the primary key would not allow querying by genre or release year effectively, as it lacks sufficient granularity.

# Memory Tip
- **Remember:** ""DynamoDB needs the right keys for the queries you want to perform."""
11,"[""A company is migrating an on-premises database to Amazon RDS for MySQL. The\ncompany has read-heavy workloads. The company wants to refactor the code to\nachieve optimum read performance for queries.\nWhich solution will meet this requirement with LEAST current and future effort?""]",Use a multi-AZ Amazon RDS deployment. Increase the number of connections that the code makes to the database or increase the connection pool size if a connection pool is in use.,Use a multi-AZ Amazon RDS deployment. Modify the code so that queries access the secondary RDS instance.,Deploy Amazon RDS with one or more read replicas. Modify the application code so that queries use the URL for the read replicas.,Use open source replication software to create a copy of the MySQL database on an Amazon EC2 instance. Modify the application code so that queries use the IP address of the EC2 instance.,"# Answer
- **Correct option:** C : Deploy Amazon RDS with one or more read replicas. Modify the application code so that queries use the URL for the read replicas.
- **Reason:** Deploying read replicas allows you to offload read traffic from the primary database. This is optimal for read-heavy workloads, as it enhances performance while reducing latency for read queries. Each read replica can handle read queries independently, freeing up resources on the primary instance for write operations. This solution requires minimal changes to the code, involving only the modification of the connection strings to direct read queries to the replicas.

# Example / Analogy
- Think of a primary database like a busy restaurant kitchen. If all customers (queries) are directed to that kitchen, the chefs (the database) can get overwhelmed, leading to long wait times. By setting up read replicas as additional kitchens, you can channel diners (read queries) to these smaller kitchens, allowing them to be served faster without overloading the main kitchen.

# Common Mistakes / Traps
- A common mistake is to assume that a multi-AZ deployment will increase read performance. Multi-AZ is primarily designed for high availability and failover, not for handling read-heavy workloads. Another mistake is overlooking the need for application code modifications, as simply improving the database configuration isn't enough.

# Memory Tip
- **Tip:** Remember that read replicas boost read performance by splitting the workload—like having multiple kitchen setups for a busy restaurant."
