ID,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Correct_Answers,Explanation
103931,"An application uses Lambda functions to extract metadata from files uploaded to an S3 bucket; the metadata is stored in Amazon DynamoDB. The application starts behaving unexpectedly, and the developer wants to examine the logs of the Lambda function code for errors. Based on this system configuration, where would the developer find the logs?",Amazon S3,AWS CloudTrail,Amazon CloudWatch,Amazon DynamoDB,,C,"The question text is missing, so the correct answer cannot be determined from the provided information."
103932,A company is using an AWS Lambda function to process records from an Amazon Kinesis data stream. The company recently observed slow processing of the records. A developer notices that the iterator age metric for the function is increasing and that the Lambda run duration is constantly above normal. Which actions should the developer take to increase the processing speed? (Choose two.),Increase the number of shards of the Kinesis data stream.,Decrease the timeout of the Lambda function.,Increase the memory that is allocated to the Lambda function.,Decrease the number of shards of the Kinesis data stream.,E. Increase the timeout of the Lambda function.,"A,C","Increasing Kinesis shards increases Lambda concurrency, and increasing Lambda memory improves processing speed. This combination typically resolves Lambda falling behind on Kinesis streams."
103955,A developer is incorporating AWS X-Ray into an application that handles personal identifiable information (PII). The application is hosted on Amazon EC2 instances. The application trace messages include encrypted PII and go to Amazon CloudWatch. The developer needs to ensure that no PII goes outside of the EC2 instances. Which solution will meet these requirements?,Manually instrument the X-Ray SDK in the application code.,Use the X-Ray auto-instrumentation agent.,Use Amazon Macie to detect and hide PII. Call the X-Ray API from AWS Lambda.,Use AWS Distro for Open Telemetry.,,A,"AWS X-Ray requires manual instrumentation when you need detailed, application-level tracing beyond what auto-instrumentation provides."
104013,"A company needs to harden its container images before the images are in a running state. The company's application uses Amazon Elastic Container Registry (Amazon ECR) as an image registry. Amazon Elastic Kubernetes Service (Amazon EKS) for compute, and an AWS CodePipeline pipeline that orchestrates a continuous integration and continuous delivery (CI/CD) workflow. Dynamic application security testing occurs in the final stage of the pipeline after a new image is deployed to a development namespace in the EKS cluster. A developer needs to place an analysis stage before this deployment to analyze the container image earlier in the CI/CD pipeline. Which solution will meet these requirements with the MOST operational efficiency?",Build the container image and run the docker scan command locally. Mitigate any findings before pushing changes to the source code repository. Write a pre-commit hook that enforces the use of this workflow before commit.,Create a new CodePipeline stage that occurs after the container image is built. Configure ECR basic image scanning to scan on image push. Use an AWS Lambda function as the action provider. Configure the Lambda function to check the scan results and to fail the pipeline if there are findings.,Create a new CodePipeline stage that occurs after source code has been retrieved from its repository. Run a security scanner on the latest revision of the source code. Fail the pipeline if there are findings.,Add an action to the deployment stage of the pipeline so that the action occurs before the deployment to the EKS cluster. Configure ECR basic image scanning to scan on image push. Use an AWS Lambda function as the action provider. Configure the Lambda function to check the scan results and to fail the pipeline if there are findings.,,B,Image scanning must occur immediately after the container image is built and pushed to ECR. Option B integrates ECR image scanning at the correct stage and fails the pipeline on findings.
104014,"A developer is testing a new file storage application that uses an Amazon CloudFront distribution to serve content from an Amazon S3 bucket. The distribution accesses the S3 bucket by using an origin access identity (OAI). The S3 bucket's permissions explicitly deny access to all other users. The application prompts users to authenticate on a login page and then uses signed cookies to allow users to access their personal storage directories. The developer has configured the distribution to use its default cache behavior with restricted viewer access and has set the origin to point to the S3 bucket. However, when the developer tries to navigate to the login page, the developer receives a 403 Forbidden error. The developer needs to implement a solution to allow unauthenticated access to the login page. The solution also must keep all private content secure. Which solution will meet these requirements?","Add a second cache behavior to the distribution with the same origin as the default cache behavior. Set the path pattern for the second cache behavior to the path of the login page, and make viewer access unrestricted. Keep the default cache behavior's settings unchanged.","Add a second cache behavior to the distribution with the same origin as the default cache behavior. Set the path pattern for the second cache behavior to *, and make viewer access restricted. Change the default cache behavior's path pattern to the path of the login page, and make viewer access unrestricted.","Add a second origin as a failover origin to the default cache behavior. Point the failover origin to the S3 bucket. Set the path pattern for the primary origin to *, and make viewer access restricted. Set the path pattern for the failover origin to the path of the login page, and make viewer access unrestricted.",Add a bucket policy to the S3 bucket to allow read access. Set the resource on the policy to the Amazon Resource Name (ARN) of the login page object in the S3 bucket. Add a CloudFront function to the default cache behavior to redirect unauthorized requests to the login page's S3 URL.,,A,Creating a separate cache behavior for the login page with unrestricted access while keeping the default restricted is the correct approach.
104015,A developer is using AWS Amplify Hosting to build and deploy an application. The developer is receiving an increased number of bug reports from users. The developer wants to add end-to-end testing to the application to eliminate as many bugs as possible before the bugs reach production. Which solution should the developer implement to meet these requirements?,Run the amplify add test command in the Amplify CLI.,Create unit tests in the application. Deploy the unit tests by using the amplify push command in the Amplify CLI.,Add a test phase to the amplify.yml build settings for the application.,Add a test phase to the aws-exports.js file for the application.,,C,Amplify test commands must be defined in the amplify.yml build settings. This is the correct way to add automated test phases for an Amplify app.
104016,"A company has deployed an application on AWS Elastic Beanstalk. The company has configured the Auto Scaling group that is associated with the Elastic Beanstalk environment to have five Amazon EC2 instances. If the capacity is fewer than four EC2 instances during the deployment, application performance degrades. The company is using the all-at-once deployment policy. What is the MOST cost-effective way to solve the deployment issue?",Change the Auto Scaling group to six desired instances.,Change the deployment policy to traffic splitting. Specify an evaluation time of 1 hour.,Change the deployment policy to rolling with additional batch. Specify a batch size of 1.,Change the deployment policy to rolling. Specify a batch size of 2.,,C,Rolling with an additional batch using a batch size of 1 allows capacity to be maintained during deployment and is typically the correct choice for minimizing impact.
106484,A company is building a serverless application that uses AWS Lambda functions. The company needs to create a set of test events to test Lambda functions in a development environment. The test events will be created once and then will be used by all the developers in an IAM developer group. The test events must be editable by any of the IAM users in the IAM developer group. Which solution will meet these requirements?,Create and store the test events in Amazon S3 as JSON objects. Allow S3 bucket access to all IAM users.,Create the test events. Configure the event sharing settings to make the test events shareable.,Create and store the test events in Amazon DynamoDB. Allow access to DynamoDB by using IAM roles.,Create the test events. Configure the event sharing settings to make the test events private.,,B,AWS Lambda console allows sharing test events by configuring them as shareable. This is the appropriate method for sharing test events with other IAM users.
106488,An engineer created an A/B test of a new feature on an Amazon CloudWatch Evidently project. The engineer configured two variations of the feature (Variation A and Variation B) for the test. The engineer wants to work exclusively with Variation A. The engineer needs to make updates so that Variation A is the only variation that appears when the engineer hits the application's endpoint. Which solution will meet this requirement?,Add an override to the feature. Set the identifier of the override to the engineer's user ID. Set the variation to Variation A.,Add an override to the feature. Set the identifier of the override to Variation A. Set the variation to 100%.,Add an experiment to the project. Set the identifier of the experiment to Variation B. Set the variation to 0%.,Add an experiment to the project. Set the identifier of the experiment to the AWS account's account ISet the variation to Variation A.,,A,Using a feature override for the engineer's user ID is the correct way to force a specific variation for a single user in AWS AppConfig.
106490,"A developer is working on an existing application that uses Amazon DynamoDB as its data store. The DynamoDB table has the following attributes: partNumber (partition key), vendor (sort key), description, productFamily, and productType. When the developer analyzes the usage patterns, the developer notices that there are application modules that frequently look for a list of products based on the productFamily and productType attributes. The developer wants to make changes to the application to improve performance of the query operations. Which solution will meet these requirements?",Create a global secondary index (GSI) with productFamily as the partition key and productType as the sort key.,Create a local secondary index (LSI) with productFamily as the partition key and productType as the sort key.,"Recreate the table. Add partNumber as the partition key and vendor as the sort key. During table creation, add a local secondary index (LSI) with productFamily as the partition key and productType as the sort key.",Update the queries to use Scan operations with productFamily as the partition key and productType as the sort key.,,A,"Local secondary indexes must use the same partition key as the base table, so options B and C are invalid. A GSI can use a different partition key, making option A the correct solution."
