ID,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Correct_Answers,Explanation
103664,A developer is creating an application that includes an Amazon API Gateway REST API in the us-east-2 Region. The developer wants to use Amazon CloudFront and a custom domain name for the API. The developer has acquired an SSL/TLS certificate for the domain from a third-party provider. How should the developer configure the custom domain for the application?,Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the same Region as the API. Create a DNS A record for the custom domain.,Import the SSL/TLS certificate into CloudFront. Create a DNS CNAME record for the custom domain.,Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the same Region as the API. Create a DNS CNAME record for the custom domain.,Import the SSL/TLS certificate into AWS Certificate Manager (ACM) in the us-east-1 Region. Create a DNS CNAME record for the custom domain.,,D,"Edge-optimized API Gateway custom domains require the SSL/TLS certificate to be imported into ACM in us-east-1, and a DNS CNAME record must be created."
103686,A developer is building a new application on AWS. The application uses an AWS Lambda function that retrieves information from an Amazon DynamoDB table. The developer hard coded the DynamoDB table name into the Lambda function code. The table name might change over time. The developer does not want to modify the Lambda code if the table name changes. Which solution will meet these requirements MOST efficiently?,Create a Lambda environment variable to store the table name. Use the standard method for the programming language to retrieve the variable.,Store the table name in a file. Store the file in the /tmp folder. Use the SDK for the programming language to retrieve the table name.,Create a file to store the table name. Zip the file and upload the file to the Lambda layer. Use the SDK for the programming language to retrieve the table name.,Create a global variable that is outside the handler in the Lambda function to store the table name.,,A,The best practice for storing configuration values such as DynamoDB table names in Lambda is using environment variables.
103687,A developer is migrating some features from a legacy monolithic application to use AWS Lambda functions instead. The application currently stores data in an Amazon Aurora DB cluster that runs in private subnets in a VPC. The AWS account has one VPC deployed. The Lambda functions and the DB cluster are deployed in the same AWS Region in the same AWS account. The developer needs to ensure that the Lambda functions can securely access the DB cluster without crossing the public internet. Which solution will meet these requirements?,Configure the DB cluster's public access setting to Yes.,Configure an Amazon RDS database proxy for he Lambda functions.,Configure a NAT gateway and a security group for the Lambda functions.,"Configure the VPC, subnets, and a security group for the Lambda functions.",,D,"Lambda functions must be configured with the same VPC, subnets, and security groups as the RDS DB cluster to allow private network access."
103708,A developer is writing an AWS Lambda function. The developer wants to log key events that occur while the Lambda function runs. The developer wants to include a unique identifier to associate the events with a specific function invocation. The developer adds the following code to the Lambda function: [https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image2.png] Which solution will meet this requirement?,Obtain the request identifier from the AWS request ID field in the context object. Configure the application to write logs to standard output.,Obtain the request identifier from the AWS request ID field in the event object. Configure the application to write logs to a file.,Obtain the request identifier from the AWS request ID field in the event object. Configure the application to write logs to standard output.,Obtain the request identifier from the AWS request ID field in the context object. Configure the application to write logs to a file.,,A,"The Lambda request ID is obtained from the context object, and logs should be written to standard output for CloudWatch logging."
103721,An application uses an Amazon EC2 Auto Scaling group. A developer notices that EC2 instances are taking a long time to become available during scale-out events. The UserData script is taking a long time to run. The developer must implement a solution to decrease the time that elapses before an EC2 instance becomes available. The solution must make the most recent version of the application available at all times and must apply all available security updates. The solution also must minimize the number of images that are created. The images must be validated. Which combination of steps should the developer take to meet these requirements? (Choose two.),Use EC2 Image Builder to create an Amazon Machine Image (AMI). Install all the patches and agents that are needed to manage and run the application. Update the Auto Scaling group launch configuration to use the AMI.,Use EC2 Image Builder to create an Amazon Machine Image (AMI). Install the latest version of the application and all the patches and agents that are needed to manage and run the application. Update the Auto Scaling group launch configuration to use the AMI.,Set up AWS CodeDeploy to deploy the most recent version of the application at runtime.,Set up AWS CodePipeline to deploy the most recent version of the application at runtime.,E. Remove any commands that perform operating system patching from the UserData script.,"B,E","To reduce instance launch time, all OS patches and the application should be pre-baked into the AMI using EC2 Image Builder, and OS patching must be removed from the UserData script. This eliminates slow runtime installation steps."
103723,A developer is using an AWS Lambda function to generate avatars for profile pictures that are uploaded to an Amazon S3 bucket. The Lambda function is automatically invoked for profile pictures that are saved under the /original/ S3 prefix. The developer notices that some pictures cause the Lambda function to time out. The developer wants to implement a fallback mechanism by using another Lambda function that resizes the profile picture. Which solution will meet these requirements with the LEAST development effort?,Set the image resize Lambda function as a destination of the avatar generator Lambda function for the events that fail processing.,Create an Amazon Simple Queue Service (Amazon SQS) queue. Set the SQS queue as a destination with an on failure condition for the avatar generator Lambda function. Configure the image resize Lambda function to poll from the SQS queue.,Create an AWS Step Functions state machine that invokes the avatar generator Lambda function and uses the image resize Lambda function as a fallback. Create an Amazon EventBridge rule that matches events from the S3 bucket to invoke the state machine.,Create an Amazon Simple Notification Service (Amazon SNS) topic. Set the SNS topic as a destination with an on failure condition for the avatar generator Lambda function. Subscribe the image resize Lambda function to the SNS topic.,,A,"Lambda destinations support invoking another Lambda function on failure, making option A a valid and simple solution for triggering the image resize function when the avatar generator fails."
103757,"A developer needs to migrate an online retail application to AWS to handle an anticipated increase in traffic. The application currently runs on two servers: one server for the web application and another server for the database. The web server renders webpages and manages session state in memory. The database server hosts a MySQL database that contains order details. When traffic to the application is heavy, the memory usage for the web server approaches 100% and the application slows down considerably. The developer has found that most of the memory increase and performance decrease is related to the load of managing additional user sessions. For the web server migration, the developer will use Amazon EC2 instances with an Auto Scaling group behind an Application Load Balancer. Which additional set of changes should the developer make to the application to improve the application's performance?",Use an EC2 instance to host the MySQL database. Store the session data and the application data in the MySQL database.,Use Amazon ElastiCache for Memcached to store and manage the session data. Use an Amazon RDS for MySQL DB instance to store the application data.,Use Amazon ElastiCache for Memcached to store and manage the session data and the application data.,Use the EC2 instance store to manage the session data. Use an Amazon RDS for MySQL DB instance to store the application data.,,B,"ElastiCache is ideal for session data due to low latency, and RDS MySQL is appropriate for persistent application data."
103772,"A developer has a legacy application that is hosted on-premises. Other applications hosted on AWS depend on the on-premises application for proper functioning. In case of any application errors, the developer wants to be able to use Amazon CloudWatch to monitor and troubleshoot all applications from one place. How can the developer accomplish this?",Install an AWS SDK on the on-premises server to automatically send logs to CloudWatch.,Download the CloudWatch agent to the on-premises server. Configure the agent to use IAM user credentials with permissions for CloudWatch.,Upload log files from the on-premises server to Amazon S3 and have CloudWatch read the files.,Upload log files from the on-premises server to an Amazon EC2 instance and have the instance forward the logs to CloudWatch.,,B,The correct way to send logs from an on-premises server to CloudWatch is to install the CloudWatch agent and configure it with IAM user credentials because on-prem servers cannot use IAM roles.
103807,"An ecommerce company is using an AWS Lambda function behind Amazon API Gateway as its application tier. To process orders during checkout, the application calls a POST API from the frontend. The POST API invokes the Lambda function asynchronously. In rare situations, the application has not processed orders. The Lambda application logs show no errors or failures. What should a developer do to solve this problem?",Inspect the frontend logs for API failures. Call the POST API manually by using the requests from the log file.,Create and inspect the Lambda dead-letter queue. Troubleshoot the failed functions. Reprocess the events.,Inspect the Lambda logs in Amazon CloudWatch for possible errors. Fix the errors.,Make sure that caching is disabled for the POST API in API Gateway.,,B,"Dead-letter queues are used to capture and troubleshoot failed asynchronous Lambda invocations, making option B the most appropriate choice."
103850,A company has an Amazon S3 bucket that contains sensitive data. The data must be encrypted in transit and at rest. The company encrypts the data in the S3 bucket by using an AWS Key Management Service (AWS KMS) key. A developer needs to grant several other AWS accounts the permission to use the S3 GetObject operation to retrieve the data from the S3 bucket. How can the developer enforce that all requests to retrieve the data provide encryption in transit?,Define a resource-based policy on the S3 bucket to deny access when a request meets the condition “aws:SecureTransport”: “false”.,Define a resource-based policy on the S3 bucket to allow access when a request meets the condition “aws:SecureTransport”: “false”.,Define a role-based policy on the other accounts' roles to deny access when a request meets the condition of “aws:SecureTransport”: “false”.,Define a resource-based policy on the KMS key to deny access when a request meets the condition of “aws:SecureTransport”: “false”.,,A,"To enforce HTTPS-only access to an S3 bucket, you apply a bucket policy that denies requests where aws:SecureTransport is false."
103858,"A developer is building a web application that uses Amazon API Gateway to expose an AWS Lambda function to process requests from clients. During testing, the developer notices that the API Gateway times out even though the Lambda function finishes under the set time limit. Which of the following API Gateway metrics in Amazon CloudWatch can help the developer troubleshoot the issue? (Choose two.)",CacheHitCount,IntegrationLatency,CacheMissCount,Latency,E. Count,"B,D",IntegrationLatency and Latency are the correct CloudWatch metrics typically used to measure end‑to‑end and backend integration performance.
